analysis_set,fpr,tpr,threshold,roc_auc,n,n_pos,n_neg
original,0.02142647490460816,0.13851351351351351,0.8726419,0.8400072089259792,3999,592,3407
original,0.021719988259465806,0.13851351351351351,0.87261224,0.8400072089259792,3999,592,3407
original,0.021719988259465806,0.15878378378378377,0.86966366,0.8400072089259792,3999,592,3407
original,0.02201350161432345,0.15878378378378377,0.86953163,0.8400072089259792,3999,592,3407
original,0.02201350161432345,0.16047297297297297,0.86951756,0.8400072089259792,3999,592,3407
original,0.024068095098326973,0.16047297297297297,0.8676796,0.8400072089259792,3999,592,3407
original,0.024068095098326973,0.16385135135135134,0.86709476,0.8400072089259792,3999,592,3407
original,0.024655121808042267,0.16385135135135134,0.86670655,0.8400072089259792,3999,592,3407
original,0.024655121808042267,0.16554054054054054,0.8665867,0.8400072089259792,3999,592,3407
original,0.025242148517757558,0.16554054054054054,0.86577654,0.8400072089259792,3999,592,3407
original,0.025242148517757558,0.16722972972972974,0.8647603,0.8400072089259792,3999,592,3407
original,0.02582917522747285,0.16722972972972974,0.8639026,0.8400072089259792,3999,592,3407
original,0.02582917522747285,0.17398648648648649,0.8635037,0.8400072089259792,3999,592,3407
original,0.026416201937188143,0.17398648648648649,0.86343396,0.8400072089259792,3999,592,3407
original,0.026416201937188143,0.18243243243243243,0.8629241,0.8400072089259792,3999,592,3407
original,0.02670971529204579,0.18243243243243243,0.86274904,0.8400072089259792,3999,592,3407
original,0.02670971529204579,0.19256756756756757,0.86187106,0.8400072089259792,3999,592,3407
original,0.02729674200176108,0.19256756756756757,0.8612834,0.8400072089259792,3999,592,3407
original,0.02729674200176108,0.19594594594594594,0.8608719,0.8400072089259792,3999,592,3407
original,0.02788376871147637,0.19594594594594594,0.860257,0.8400072089259792,3999,592,3407
original,0.02788376871147637,0.19763513513513514,0.8602546,0.8400072089259792,3999,592,3407
original,0.028470795421191665,0.19763513513513514,0.8597331,0.8400072089259792,3999,592,3407
original,0.028470795421191665,0.20270270270270271,0.8589912,0.8400072089259792,3999,592,3407
original,0.02876430877604931,0.20270270270270271,0.85874045,0.8400072089259792,3999,592,3407
original,0.02876430877604931,0.20439189189189189,0.85858476,0.8400072089259792,3999,592,3407
original,0.029057822130906956,0.20439189189189189,0.8585653,0.8400072089259792,3999,592,3407
original,0.029057822130906956,0.20608108108108109,0.8585639,0.8400072089259792,3999,592,3407
original,0.0293513354857646,0.20608108108108109,0.85789573,0.8400072089259792,3999,592,3407
original,0.0293513354857646,0.20945945945945946,0.85743284,0.8400072089259792,3999,592,3407
original,0.029644848840622247,0.20945945945945946,0.8573642,0.8400072089259792,3999,592,3407
original,0.029644848840622247,0.21114864864864866,0.85691446,0.8400072089259792,3999,592,3407
original,0.029938362195479896,0.21114864864864866,0.85646904,0.8400072089259792,3999,592,3407
original,0.029938362195479896,0.21283783783783783,0.8561452,0.8400072089259792,3999,592,3407
original,0.03023187555033754,0.21283783783783783,0.8557956,0.8400072089259792,3999,592,3407
original,0.03023187555033754,0.21452702702702703,0.8555134,0.8400072089259792,3999,592,3407
original,0.030525388905195187,0.21452702702702703,0.8551057,0.8400072089259792,3999,592,3407
original,0.030525388905195187,0.21621621621621623,0.8549074,0.8400072089259792,3999,592,3407
original,0.030818902260052832,0.21621621621621623,0.85451436,0.8400072089259792,3999,592,3407
original,0.030818902260052832,0.22804054054054054,0.8527968,0.8400072089259792,3999,592,3407
original,0.031112415614910478,0.22804054054054054,0.8527465,0.8400072089259792,3999,592,3407
original,0.031112415614910478,0.22972972972972974,0.85270584,0.8400072089259792,3999,592,3407
original,0.03140592896976813,0.22972972972972974,0.85194546,0.8400072089259792,3999,592,3407
original,0.03140592896976813,0.23141891891891891,0.8518287,0.8400072089259792,3999,592,3407
original,0.03199295567948342,0.23141891891891891,0.8510087,0.8400072089259792,3999,592,3407
original,0.03199295567948342,0.23479729729729729,0.8506228,0.8400072089259792,3999,592,3407
original,0.03228646903434106,0.23479729729729729,0.85011744,0.8400072089259792,3999,592,3407
original,0.03228646903434106,0.23648648648648649,0.8491868,0.8400072089259792,3999,592,3407
original,0.03257998238919871,0.23648648648648649,0.84820414,0.8400072089259792,3999,592,3407
original,0.03257998238919871,0.23817567567567569,0.8481972,0.8400072089259792,3999,592,3407
original,0.032873495744056354,0.23817567567567569,0.8480159,0.8400072089259792,3999,592,3407
original,0.032873495744056354,0.23986486486486486,0.84795505,0.8400072089259792,3999,592,3407
original,0.033460522453771645,0.23986486486486486,0.847862,0.8400072089259792,3999,592,3407
