analysis_set,recall,precision,threshold,pr_auc,n,n_pos,n_neg
original,1.0,0.15711252653927812,0.15957953,0.44064149552255333,3999,592,3407
original,1.0,0.1571542341385718,0.15966119,0.44064149552255333,3999,592,3407
original,1.0,0.1571959638874137,0.15976022,0.44064149552255333,3999,592,3407
original,1.0,0.15723771580345286,0.16033068,0.44064149552255333,3999,592,3407
original,1.0,0.15727948990435706,0.16058695,0.44064149552255333,3999,592,3407
original,1.0,0.1573212862078129,0.16078082,0.44064149552255333,3999,592,3407
original,1.0,0.1573631047315258,0.16100408,0.44064149552255333,3999,592,3407
original,1.0,0.1574049454932199,0.16157857,0.44064149552255333,3999,592,3407
original,1.0,0.1574468085106383,0.16175431,0.44064149552255333,3999,592,3407
original,1.0,0.15748869380154296,0.16198513,0.44064149552255333,3999,592,3407
original,1.0,0.15753060138371475,0.1632282,0.44064149552255333,3999,592,3407
original,1.0,0.1575725312749534,0.16331944,0.44064149552255333,3999,592,3407
original,1.0,0.15761448349307774,0.16338322,0.44064149552255333,3999,592,3407
original,1.0,0.15765645805592543,0.16354305,0.44064149552255333,3999,592,3407
original,1.0,0.15769845498135324,0.16375881,0.44064149552255333,3999,592,3407
original,1.0,0.15774047428723686,0.16377562,0.44064149552255333,3999,592,3407
original,1.0,0.15778251599147122,0.16421327,0.44064149552255333,3999,592,3407
original,1.0,0.15782458011197015,0.16457927,0.44064149552255333,3999,592,3407
original,1.0,0.15786666666666666,0.16472301,0.44064149552255333,3999,592,3407
original,1.0,0.15790877567351294,0.16481793,0.44064149552255333,3999,592,3407
original,1.0,0.15795090715048027,0.16514911,0.44064149552255333,3999,592,3407
original,1.0,0.1579930611155591,0.16516016,0.44064149552255333,3999,592,3407
original,1.0,0.15803523758675922,0.1653955,0.44064149552255333,3999,592,3407
original,1.0,0.1580774365821095,0.16624497,0.44064149552255333,3999,592,3407
original,1.0,0.1581196581196581,0.1665125,0.44064149552255333,3999,592,3407
original,1.0,0.15816190221747262,0.16740067,0.44064149552255333,3999,592,3407
original,1.0,0.15820416889363975,0.16760053,0.44064149552255333,3999,592,3407
original,1.0,0.1582464581662657,0.16793235,0.44064149552255333,3999,592,3407
original,1.0,0.15828877005347594,0.1679704,0.44064149552255333,3999,592,3407
original,1.0,0.15833110457341534,0.16832869,0.44064149552255333,3999,592,3407
original,1.0,0.15837346174424827,0.16876614,0.44064149552255333,3999,592,3407
original,1.0,0.15841584158415842,0.16920713,0.44064149552255333,3999,592,3407
original,1.0,0.15845824411134904,0.16938661,0.44064149552255333,3999,592,3407
original,1.0,0.15850066934404283,0.16974553,0.44064149552255333,3999,592,3407
original,1.0,0.15854311730048207,0.16993001,0.44064149552255333,3999,592,3407
original,1.0,0.15858558799892847,0.17061311,0.44064149552255333,3999,592,3407
original,1.0,0.15862808145766344,0.1707532,0.44064149552255333,3999,592,3407
original,1.0,0.15867059769498795,0.17087755,0.44064149552255333,3999,592,3407
original,1.0,0.15871313672922252,0.17088678,0.44064149552255333,3999,592,3407
original,1.0,0.15875569857870742,0.17097923,0.44064149552255333,3999,592,3407
original,1.0,0.15879828326180256,0.17145404,0.44064149552255333,3999,592,3407
original,1.0,0.15884089079688757,0.1717442,0.44064149552255333,3999,592,3407
original,1.0,0.1588835212023618,0.17176722,0.44064149552255333,3999,592,3407
original,1.0,0.15892617449664428,0.17181727,0.44064149552255333,3999,592,3407
original,1.0,0.158968850698174,0.17219105,0.44064149552255333,3999,592,3407
original,1.0,0.1590115498254096,0.1722551,0.44064149552255333,3999,592,3407
original,1.0,0.15905427189682966,0.17231828,0.44064149552255333,3999,592,3407
original,1.0,0.15909701693093253,0.17261903,0.44064149552255333,3999,592,3407
original,1.0,0.15913978494623657,0.17282313,0.44064149552255333,3999,592,3407
original,1.0,0.1591825759612799,0.17407005,0.44064149552255333,3999,592,3407
original,1.0,0.15922538999462077,0.17434728,0.44064149552255333,3999,592,3407
original,1.0,0.15926822706483723,0.1743954,0.44064149552255333,3999,592,3407
original,1.0,0.15931108719052745,0.17447224,0.44064149552255333,3999,592,3407
original,1.0,0.15935397039030955,0.17503107,0.44064149552255333,3999,592,3407
original,1.0,0.15939687668282176,0.17563787,0.44064149552255333,3999,592,3407
original,1.0,0.1594398060867223,0.17566024,0.44064149552255333,3999,592,3407
original,1.0,0.15948275862068967,0.17567757,0.44064149552255333,3999,592,3407
original,1.0,0.15952573430342226,0.17609942,0.44064149552255333,3999,592,3407
