cluster_id,size,pos,neg,fold
1223,1,0,1,4
1224,1,0,1,3
1225,1,0,1,2
1226,1,0,1,1
1227,1,1,0,0
1228,1,0,1,3
1229,1,0,1,0
1230,1,1,0,2
1231,1,0,1,1
1232,1,0,1,0
1233,1,0,1,4
1234,1,0,1,3
1235,1,0,1,2
1236,1,0,1,1
1237,1,0,1,4
1238,1,0,1,3
1239,1,0,1,4
1240,1,0,1,2
1241,1,0,1,1
1242,1,1,0,0
1243,1,0,1,4
1244,1,0,1,3
1245,1,0,1,2
1246,1,0,1,1
1247,1,0,1,0
1248,1,0,1,3
1249,1,1,0,0
1250,1,0,1,2
1251,1,0,1,1
1252,1,0,1,0
1253,1,0,1,4
1254,1,1,0,3
1255,1,0,1,2
1256,1,0,1,1
1257,1,0,1,2
1258,1,0,1,4
1259,1,0,1,3
1260,1,1,0,4
1261,1,0,1,1
1262,1,0,1,0
1263,1,0,1,4
1264,1,0,1,3
1265,1,0,1,2
1266,1,0,1,1
1267,1,0,1,0
1268,1,0,1,3
1269,1,0,1,0
1270,1,0,1,2
1271,1,0,1,1
1272,1,0,1,0
1273,1,0,1,4
1274,1,0,1,3
1275,1,0,1,2
1276,1,0,1,1
1277,1,0,1,4
1278,1,0,1,4
1279,1,0,1,3
1280,1,0,1,2
1281,1,1,0,1
1282,1,0,1,0
1283,1,0,1,4
1284,1,0,1,3
1285,1,0,1,2
1286,1,1,0,1
1287,1,0,1,0
1288,1,0,1,3
1289,1,0,1,0
1290,1,0,1,2
1291,1,0,1,1
1292,1,0,1,0
1293,1,1,0,4
1294,1,0,1,3
1295,1,0,1,2
1296,1,0,1,1
1297,1,0,1,2
1298,1,0,1,4
1299,1,0,1,3
1300,1,0,1,4
1301,1,0,1,1
1302,1,0,1,0
1303,1,0,1,4
1304,1,0,1,3
1305,1,0,1,2
1306,1,0,1,1
1307,1,0,1,0
1308,1,0,1,3
1309,1,0,1,0
1310,1,0,1,2
1311,1,1,0,1
1312,1,0,1,0
1313,1,0,1,4
1314,1,0,1,3
1315,1,0,1,2
1316,1,0,1,1
1317,1,0,1,4
1318,1,0,1,3
1319,1,0,1,4
1320,1,0,1,2
1321,1,0,1,1
1322,1,0,1,0
1323,1,0,1,4
1324,1,0,1,3
1325,1,1,0,2
1326,1,0,1,1
1327,1,0,1,0
1328,1,0,1,3
1329,1,0,1,0
1330,1,0,1,2
1331,1,0,1,1
1332,1,0,1,0
1333,1,0,1,4
1334,1,1,0,3
1335,1,0,1,2
1336,1,0,1,1
1337,1,0,1,2
1338,1,0,1,4
1339,1,0,1,3
1340,1,0,1,4
1341,1,0,1,1
1342,1,0,1,0
1343,1,1,0,4
1344,1,0,1,3
1345,1,0,1,2
1346,1,0,1,1
